#separator:Comma
#html:true
#notetype:Basic
#deck:Saudi::Stages 4–5 — Her words (to check)
#tags column:3
"<div dir=""rtl"" style=""font-size:2em"">جيت</div>","<b>jīt</b><br>EN: I came<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">قلت</div>","<b>gilt</b><br>EN: I said<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">شفت</div>","<b>shift</b><br>EN: I saw<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">سويت</div>","<b>sawwēt</b><br>EN: I did, I made<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">كليت</div>","<b>kalēt</b><br>EN: I ate<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">شربت</div>","<b>shirabt</b><br>EN: I drank<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">نمت</div>","<b>nimt</b><br>EN: I slept<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">صحيت</div>","<b>ṣiḥēt</b><br>EN: I woke up<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">طلعت</div>","<b>ṭilaʿt</b><br>EN: I went out<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">دخلت</div>","<b>dikhalt</b><br>EN: I went in<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">رجعت</div>","<b>rijaʿt</b><br>EN: I came back<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">وصلت</div>","<b>wiṣalt</b><br>EN: I arrived<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">خلصت</div>","<b>khallaṣt</b><br>EN: I finished<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">بديت</div>","<b>badēt</b><br>EN: I started<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">عرفت</div>","<b>ʿiraft</b><br>EN: I found out, I knew<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">فهمت</div>","<b>fihamt</b><br>EN: I understood<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">نسيت</div>","<b>nisīt</b><br>EN: I forgot<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">تذكرت</div>","<b>tadhakkart</b><br>EN: I remembered<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">سمعت</div>","<b>simaʿt</b><br>EN: I heard<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">حسيت</div>","<b>ḥassēt</b><br>EN: I felt<br><i>Suggested word — not yet checked by a native speaker</i><br>⚠ check with tutor","stage-4 topic-4.1 check-with-tutor"
